year_key,quarter_key,price_index,historical_avg,market_standing
2024,3,249.36641140,134.946016719214,"Above Average"
2024,3,162.19388340,134.946016719214,"Above Average"
2022,2,114.67600600,134.946016719214,"Below Average"
2022,2,93.87342115,134.946016719214,"Below Average"
2022,1,115.96845350,134.946016719214,"Below Average"
2021,4,205.86034400,134.946016719214,"Above Average"
2021,2,108.07847340,134.946016719214,"Below Average"
2020,4,101.86900340,134.946016719214,"Below Average"
2023,1,154.76865080,134.946016719214,"Above Average"
2024,3,135.17522260,134.946016719214,"Above Average"
2022,2,138.29157330,134.946016719214,"Above Average"
2023,3,173.71783520,134.946016719214,"Above Average"
2021,2,105.81998220,134.946016719214,"Below Average"
2021,2,108.89404360,134.946016719214,"Below Average"
2020,3,88.99658373,134.946016719214,"Below Average"
2023,3,149.40899070,134.946016719214,"Above Average"
2020,1,99.05919970,134.946016719214,"Below Average"
2024,3,190.04576560,134.946016719214,"Above Average"
2023,2,212.44584110,134.946016719214,"Above Average"
2023,1,227.26029070,134.946016719214,"Above Average"
2021,3,110.37771180,134.946016719214,"Below Average"
2021,2,101.68505590,134.946016719214,"Below Average"
2021,1,99.79531869,134.946016719214,"Below Average"
2020,2,95.82350666,134.946016719214,"Below Average"
2024,2,160.39161260,134.946016719214,"Above Average"
2020,3,96.25698153,134.946016719214,"Below Average"
2022,2,119.40372650,134.946016719214,"Below Average"
2020,1,97.78902894,134.946016719214,"Below Average"
2022,3,139.91155910,134.946016719214,"Above Average"
2023,2,140.51576690,134.946016719214,"Above Average"
2021,3,94.08124664,134.946016719214,"Below Average"
2024,4,270.10587370,134.946016719214,"Above Average"
2021,1,109.84740610,134.946016719214,"Below Average"
2023,1,127.89685920,134.946016719214,"Below Average"
2022,4,120.04733260,134.946016719214,"Below Average"
2021,4,115.77052360,134.946016719214,"Below Average"
2022,1,113.84364960,134.946016719214,"Below Average"
2020,3,98.27329248,134.946016719214,"Below Average"
2021,1,100.03522870,134.946016719214,"Below Average"
2022,2,194.91689700,134.946016719214,"Above Average"
2021,1,149.38000900,134.946016719214,"Above Average"
2020,4,105.52054680,134.946016719214,"Below Average"
2021,3,113.37392430,134.946016719214,"Below Average"
2020,4,100.30023290,134.946016719214,"Below Average"
2024,2,186.16545340,134.946016719214,"Above Average"
2024,2,203.20000480,134.946016719214,"Above Average"
2020,1,99.01232271,134.946016719214,"Below Average"
2022,3,118.67204630,134.946016719214,"Below Average"
2022,4,149.72088160,134.946016719214,"Above Average"
2022,3,203.58712240,134.946016719214,"Above Average"
2021,3,104.62094370,134.946016719214,"Below Average"
2020,2,94.45062499,134.946016719214,"Below Average"
2021,3,127.20365480,134.946016719214,"Below Average"
2022,3,96.90073839,134.946016719214,"Below Average"
2022,4,93.82932295,134.946016719214,"Below Average"
2022,1,116.71896500,134.946016719214,"Below Average"
2024,2,149.09634180,134.946016719214,"Above Average"
2023,4,230.11093030,134.946016719214,"Above Average"
2024,3,153.82953340,134.946016719214,"Above Average"
2023,1,138.31227260,134.946016719214,"Above Average"
2020,2,108.26362890,134.946016719214,"Below Average"
2022,4,134.36757370,134.946016719214,"Below Average"
2024,2,104.37307950,134.946016719214,"Below Average"
2024,1,159.61975460,134.946016719214,"Above Average"
2024,1,137.88916400,134.946016719214,"Above Average"
2021,3,108.50511180,134.946016719214,"Below Average"
2024,4,142.76770140,134.946016719214,"Above Average"
2021,2,112.67540950,134.946016719214,"Below Average"
2024,4,174.28287670,134.946016719214,"Above Average"
2020,2,93.75458963,134.946016719214,"Below Average"
2024,3,101.02224290,134.946016719214,"Below Average"
2021,1,103.69147300,134.946016719214,"Below Average"
2023,2,141.79424350,134.946016719214,"Above Average"
2020,1,98.92649865,134.946016719214,"Below Average"
2020,4,99.55790348,134.946016719214,"Below Average"
2023,2,158.50738630,134.946016719214,"Above Average"
2024,4,107.38037310,134.946016719214,"Below Average"
2022,1,108.71568940,134.946016719214,"Below Average"
2022,2,123.82931810,134.946016719214,"Below Average"
2023,4,133.87035810,134.946016719214,"Below Average"
2023,3,134.02366950,134.946016719214,"Below Average"
2022,4,131.54869750,134.946016719214,"Below Average"
2022,3,118.01725160,134.946016719214,"Below Average"
2023,2,98.74164367,134.946016719214,"Below Average"
2020,3,99.06445005,134.946016719214,"Below Average"
2020,1,100.38848760,134.946016719214,"Below Average"
2020,2,95.02160158,134.946016719214,"Below Average"
2022,2,126.03834950,134.946016719214,"Below Average"
2024,1,193.95414000,134.946016719214,"Above Average"
2023,2,131.21632110,134.946016719214,"Below Average"
2023,3,105.30748750,134.946016719214,"Below Average"
2020,4,141.07441780,134.946016719214,"Above Average"
2023,3,153.97280620,134.946016719214,"Above Average"
2020,1,116.87458000,134.946016719214,"Below Average"
2022,4,220.07207630,134.946016719214,"Above Average"
2021,4,133.29809800,134.946016719214,"Below Average"
2024,1,105.33134770,134.946016719214,"Below Average"
2020,3,105.28682590,134.946016719214,"Below Average"
2021,4,94.33481717,134.946016719214,"Below Average"
2023,1,98.80913462,134.946016719214,"Below Average"
2021,2,123.50700110,134.946016719214,"Below Average"
2020,2,98.33702754,134.946016719214,"Below Average"
2021,3,183.26145030,134.946016719214,"Above Average"
2023,4,104.16537540,134.946016719214,"Below Average"
2020,4,99.15244418,134.946016719214,"Below Average"
2022,3,126.50340940,134.946016719214,"Below Average"
2020,3,97.84116329,134.946016719214,"Below Average"
2022,1,127.42783830,134.946016719214,"Below Average"
2024,2,133.29773470,134.946016719214,"Below Average"
2021,2,167.31630660,134.946016719214,"Above Average"
2023,4,150.09517910,134.946016719214,"Above Average"
2024,4,208.72359290,134.946016719214,"Above Average"
2020,2,88.91497913,134.946016719214,"Below Average"
2024,2,254.26919240,134.946016719214,"Above Average"
2023,4,158.82510050,134.946016719214,"Above Average"
2021,4,117.92689810,134.946016719214,"Below Average"
2024,4,162.09621180,134.946016719214,"Above Average"
2021,1,99.35608284,134.946016719214,"Below Average"
2021,4,109.09435850,134.946016719214,"Below Average"
2021,1,96.66097828,134.946016719214,"Below Average"
2024,1,155.67219870,134.946016719214,"Above Average"
2024,4,224.07692940,134.946016719214,"Above Average"
2023,2,148.95394560,134.946016719214,"Above Average"
2023,3,149.70840880,134.946016719214,"Above Average"
2022,1,94.06300610,134.946016719214,"Below Average"
2021,4,108.19830530,134.946016719214,"Below Average"
2023,4,150.45376090,134.946016719214,"Above Average"
2024,1,178.01738430,134.946016719214,"Above Average"
2020,3,93.07120538,134.946016719214,"Below Average"
2022,3,129.55106220,134.946016719214,"Below Average"
2022,4,126.25465660,134.946016719214,"Below Average"
2020,4,93.66125794,134.946016719214,"Below Average"
2023,1,143.78453460,134.946016719214,"Above Average"
2023,3,232.91297090,134.946016719214,"Above Average"
2024,1,241.73216170,134.946016719214,"Above Average"
2023,1,130.58846250,134.946016719214,"Below Average"
2022,1,168.15291870,134.946016719214,"Above Average"
2023,4,176.65557730,134.946016719214,"Above Average"
2020,1,102.56283150,134.946016719214,"Below Average"
2024,3,204.88343250,134.946016719214,"Above Average"
